date,spy_price,vix,momentum_21d_pct,vol_realized_pct,drawdown_90d_pct,regime,spy_return_next_pct,z1,z2,z3,z4,z5,z6,z7,z8,phi_var,delta,isomorph,isomorph_sim,trading_signal,threshold_met
2025-10-02,665.43,16.63,4.25,6.28,0.0,R1_EXPANSION,-0.0015,0.531,-0.153,-0.318,0.251,-0.0,-0.2,0.277,-0.7,0.1331,0.7655,gas_expansion,0.9194,LONG,True
2025-10-03,665.42,16.65,3.38,5.87,-0.0,R1_EXPANSION,0.3586,0.422,-0.152,-0.341,0.235,0.0,-0.2,0.228,-0.7,0.1153,0.7655,gas_expansion,0.9085,LONG,True
2025-10-06,667.81,16.37,4.05,5.67,0.0,R1_EXPANSION,-0.3707,0.506,-0.165,-0.352,0.227,-0.0,-0.2,0.269,-0.7,0.1299,0.7655,gas_expansion,0.9148,LONG,True
2025-10-07,665.33,17.24,3.41,5.99,-0.37,R1_EXPANSION,0.5963,0.426,-0.125,-0.334,0.24,0.011,-0.2,0.226,-0.7,0.1152,0.7606,gas_expansion,0.9097,LONG,True
2025-10-08,669.3,16.3,3.79,6.17,0.0,R1_EXPANSION,-0.2897,0.474,-0.168,-0.324,0.247,-0.0,-0.2,0.255,-0.7,0.124,0.7655,gas_expansion,0.9162,LONG,True
2025-10-09,667.36,16.43,3.19,6.37,-0.29,R1_EXPANSION,-2.7028,0.399,-0.162,-0.313,0.255,0.008,-0.2,0.222,-0.7,0.1122,0.7616,gas_expansion,0.912,LONG,True
2025-10-10,649.32,21.66,-0.43,11.39,-2.98,R2_ACCUMULATION,1.5344,-0.054,0.075,-0.034,0.0,0.085,-0.2,-0.018,-0.25,0.0125,0.699,gas_expansion,0.7235,LONG,True
2025-10-13,659.29,19.03,1.14,12.6,-1.5,R1_EXPANSION,-0.1222,0.142,-0.044,0.033,0.504,0.043,-0.2,0.088,-0.7,0.1018,0.7655,gas_expansion,0.8582,LONG,True
2025-10-14,658.48,20.81,0.48,12.49,-1.62,R2_ACCUMULATION,0.444,0.06,0.037,0.027,0.0,0.046,-0.2,0.032,-0.25,0.013,0.7172,gas_expansion,0.8168,LONG,True
2025-10-15,661.4,20.64,1.06,12.55,-1.18,R2_ACCUMULATION,-0.681,0.133,0.029,0.031,0.502,0.034,-0.2,0.062,-0.25,0.0456,0.743,gas_expansion,0.8652,LONG,True
2025-10-16,656.9,25.31,0.5,12.8,-1.85,R2_ACCUMULATION,0.5676,0.062,0.241,0.044,0.0,0.053,0.1,-0.016,-0.25,0.0166,0.7141,compressed_gas,0.7708,LONG_PREPARE,True
2025-10-17,660.63,20.78,0.6,12.85,-1.3,R2_ACCUMULATION,1.04,0.075,0.035,0.047,0.514,0.037,-0.2,0.036,-0.25,0.046,0.7414,gas_expansion,0.8369,LONG,True
2025-10-20,667.5,18.23,1.15,13.23,-0.27,R1_EXPANSION,-0.0015,0.144,-0.08,0.068,0.529,0.008,-0.2,0.087,-0.7,0.1059,0.7819,gas_expansion,0.8516,LONG,True
