pair_id,date,spy_price,vix,momentum_21d_pct,vol_realized_pct,drawdown_90d_pct,regime,delta,isomorph,isomorph_sim,margin,stratum,expected_isomorph,difficulty,rationale
1,2025-10-02,665.43,16.63,4.25,6.28,0.0,R1_EXPANSION,0.7655,gas_expansion,0.9194,0.3475,gas_clear,gas_expansion,easy,"Bull run inequivoco: R1_EXPANSION, momentum>3%, VIX bajo"
2,2025-10-03,665.42,16.65,3.38,5.87,-0.0,R1_EXPANSION,0.7655,gas_expansion,0.9085,0.3495,gas_clear,gas_expansion,easy,"Bull run inequivoco: R1_EXPANSION, momentum>3%, VIX bajo"
3,2025-10-06,667.81,16.37,4.05,5.67,0.0,R1_EXPANSION,0.7655,gas_expansion,0.9148,0.3548,fill,gas_expansion,medium,Muestra representativa adicional
4,2025-10-09,667.36,16.43,3.19,6.37,-0.29,R1_EXPANSION,0.7616,gas_expansion,0.912,0.3453,gas_clear,gas_expansion,easy,"Bull run inequivoco: R1_EXPANSION, momentum>3%, VIX bajo"
5,2025-10-13,659.29,19.03,1.14,12.6,-1.5,R1_EXPANSION,0.7655,gas_expansion,0.8582,0.1903,fill,gas_expansion,medium,Muestra representativa adicional
6,2025-10-15,661.4,20.64,1.06,12.55,-1.18,R2_ACCUMULATION,0.743,gas_expansion,0.8652,0.2014,regime_transition,EXPERT_JUDGMENT,hard,Dia de transicion de regimen. Sistema: gas_expansion
7,2025-10-16,656.9,25.31,0.5,12.8,-1.85,R2_ACCUMULATION,0.7141,compressed_gas,0.7708,0.1838,rare_compressed_gas,compressed_gas,medium,Isomorfo infrecuente (compressed_gas) — todos incluidos
8,2025-10-17,660.63,20.78,0.6,12.85,-1.3,R2_ACCUMULATION,0.7414,gas_expansion,0.8369,0.1729,regime_transition,EXPERT_JUDGMENT,hard,Dia de transicion de regimen. Sistema: gas_expansion
9,2025-10-24,673.42,16.37,2.92,13.28,0.0,R1_EXPANSION,0.7855,gas_expansion,0.9025,0.2366,fill,gas_expansion,medium,Muestra representativa adicional
10,2025-10-29,683.5,16.92,3.18,13.67,0.0,R1_EXPANSION,0.7855,gas_expansion,0.9019,0.2285,gas_clear,gas_expansion,easy,"Bull run inequivoco: R1_EXPANSION, momentum>3%, VIX bajo"
